#,address,fsGLP_distribution,eth_glv_distribution,btc_glv_distribution
32,0x055ddc40fbe329e3b43cb06f56a9ecdaca3ad521,2433.747994163542898605,1076.117482620293458240,990.056174347302771821
33,0xd25efb72f479dc9a9acc20fad35c44c1cb34dc33,2267.700051369874927332,1002.696941700725687951,922.507360174765494776
34,0x0ac0240f4656dc80684d0df1208bb91c0220725d,1688.363699769996628675,746.534850239668344329,686.831549326308163472
35,0x59d2e0a2be0db463c36038a5fd2535f58ab3b38f,2258.677004634045715648,998.707268833111129425,918.836756992490450102
36,0xca2d73e3b15cd376f38e526e5dcf04fe60855a67,2232.796324920681854564,987.263745523205216159,908.308416832388047624
37,0x112f4dcf0b4fe5938098d9e743d72d939b4f6075,2232.796324920681854564,987.263745523205216159,908.308416832388047624
38,0x8253569da40c19350ec3067b4f882658bb403c81,1838.474765215219804304,812.908666365147155375,747.897192744732024039
39,0xc693b4ffb338579467a541b2bf267b1955870920,1377.214626123336756791,608.955709484234830597,560.255148546491568595
40,0xa0c0f5e52950e94a72e2a9790511ed536896d5b9,1332.847519221310676585,589.338140407629225592,542.206472910551383393
41,0x91271375ae26099e4b1c89ff3892a1915edf581a,1808.565023185752124846,799.683633873796111402,735.729817634234223078
42,0x750e9a7b449904f47b793b805db469fa6e025e33,1626.592122704716757653,719.221638613655045447,661.702681662394752493
43,0xaf8cfcfa6d329c0264c2bbc337949debdef23075,1027.021448965348781712,454.112643917137802418,417.795486292624502767
44,0x069497b672dcc385264ac7f5b8ec5a467b863bff,1339.67779495240893084,592.358247313923016009,544.985050099432669413
45,0x5a9dd9b93e6ad5f78b9b5fb08dd40e384d327f4b,964.336876919329370139,426.395738127770414394,392.295209460630758258
46,0x178d4d7d2a603463faffea75eecf74797c8bd7f3,916.240814511674670939,405.129356511352284542,372.729583248432220444
47,0x7942b87c5c80d0702e1375fc36ece7220cb04d09,1116.398162460340927282,493.631872761602608080,454.154208416194023812
48,0x1bc64307e6ddc620635b862fd2051be32bbf26a3,1116.398162460340927282,493.631872761602608080,454.154208416194023812
49,0xf16a809ac6ae471ffe3c93b388072d27d583b06a,791.175585655818736086,349.829925525709086287,321.852663237880790348
50,0x425f52b381301f6297154850b336a6598f4f1aee,688.607313061668378396,304.477854742117415299,280.127574273245784298
51,0xda603487d8a7f1c410743871507051880538863f,1004.758346214306811817,444.268685485442347272,408.738787574574587325
52,0x69510e004eef7914c388a5ba662059fa2d2bca2b,619.057974442439785889,273.725591413163556354,251.834689271647931719
53,0xbbf849844b052a79b79393aea9a7661b14a49a71,672.315070616823163618,297.274000042275304168,273.499839904213047248
54,0xbbb7b32a5e384829fa67e200041d64e4dd8a6105,563.96938939750634745,249.367363033794163130,229.424483329788273522
55,0xce462c13f461deeb3ec2daadd5e7d5f90bb8f0b2,669.83889747620446542,296.179123656961508004,272.492525049716334706
56,0x9996890f80b0624f3087f8ec0c2a8fcc9c5ee103,423.005894694547066592,187.038279897459347012,172.080099842703276636
57,0x4149b799341ffd4ba835bdc9907409ff0467fe18,413.164387837001015669,182.686712845270477601,168.076544563947493316
58,0x0e69286ea0e263fbe00cb03d0faedb7899ce6aec,413.164387837001015669,182.686712845270477601,168.076544563947493316
59,0x25fec8adaef7da7ab33a0228ab15e51311f5dc89,558.199081230170463641,246.815936380801304040,227.077104208097011906
60,0x6d47ea39eb6c2e95c499fbe372ddb026b93a9872,474.678775832710584837,209.886204540228078486,193.100786922811579416
61,0xbc6e5006a792a4bbf737195f2f6c54b8c4493099,344.303656530834189198,152.238927371058707649,140.063787136622892149
62,0x48be96ef6fc4249e1ec303c5b5bd4a9f23900659,344.303656530834189198,152.238927371058707649,140.063787136622892149
63,0x9df3575255c5971aa9d9aff10b2755489c126e5f,367.966691638604970649,162.701886491064783513,149.689982645947736728
64,0xf8b5725bcd315b62ea74481efb19bed1cc892b11,344.303656530834189198,152.238927371058707649,140.063787136622892149
65,0x55d607ebcdae3d0a5da08d92f115638115972ce0,337.417583400217495182,149.194148823637533496,137.262511393890434874
66,0x2b85e8d6e602b0da9f3cdb9bb89254dd2442d80b,447.675663146596718889,197.946380977402611734,182.115837574893788542
67,0xf3c5f2517c1fcfaa8b40bc98990feaa26f8a9d45,446.559264984136405019,197.452749104641014810,181.661683366477603840
68,0x3579a279cd7fd6739f2904a301c96de6afff5509,407.200283745251340406,180.049596473037013311,165.650328663760916470
69,0xcf8445a17f25d149e63ba8662eb602e5103a236b,287.738972849621688965,127.228020262264095663,117.053099726551081972
70,0xe792923a42643b2aec46733f10585edf41cd2fa5,298.602854984870418775,132.031645585388588415,121.472560414830383024
71,0x0c275f2d879b46b901000f92430b9f57afc5a723,395.204949510960659609,174.745682957607300523,160.770589779332652824
72,0x5dcf8a23a6bb780cee6beb0b69c4f36f781c9df6,375.654741991909133958,166.101271066746448923,152.817505191106647544
73,0x091a53446383ac947d83dff4ddedb57c1d1f81c9,334.91944873810223271,148.089561828480754002,136.246262524858167353
74,0xd187241884009163e35b36559ca5549ae5678852,330.085801990853951793,145.952293803196852195,134.279920151611918300
75,0xd1af7d3751453374e1c068d3a3fac44a0ff24c38,281.332336940005916404,124.395231935923845867,114.446860520880889567
76,0x6777529d538c57d6cc6d46da4610758245470dab,206.582193918500507834,91.343356422635238800,84.038272281973746658
77,0x26a6dc267e276fded7b40251c8fc08b1b40df367,275.973625760196284773,122.025798946668160738,112.266920320483151841
78,0x3676e5592f909e70f2bf992523f732a610f2c1c6,172.151828265417094599,76.119463685529353825,70.031893568311446074
79,0xdb02db34221f6116a993b4a70cefe28b9aff379b,172.470997755021159037,76.260589171202312286,70.161732698987080425
80,0xc9cce71edf54be2c85d23536589ffe8d9e2acdd1,238.909206766512937747,105.637220770982949603,97.189000601065501428
81,0x9f8fe303110f6d306d89c8a70be8ec2df6e6931b,205.20094182250491599,90.732615486444899489,83.476374678257130313
82,0xb33d4956f4328c4a0da1d1ab544cc8f2ca1660d2,223.279632492068202509,98.726374552320507405,90.830841683238801920
83,0x1257b700a36c1992bc284232b1906a205ffa0220,212.115650867464779594,93.790055824704481324,86.289299599076855429
