account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0xbd1b3513bb0ce1529242cfb28926618809592362,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,26658.49154,2.67E+22,0.00328161603,$820.40400759
0xf5852776c00e0badafae60c1166dcdb3211af64b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,25828.5543,2.58E+22,0.003179452134,$794.86303361
0x982fb25c5c3257bb9c1fff7d747df6bb1732df2a,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,24520.22185,2.45E+22,0.003018398583,$754.59964570
0x4e968d77aec3e74aa0884ac3cf13c3f98c570f38,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed and transferred partially (out txs only),24334.52107,2.43E+22,0.002995539125,$748.88478123
0x6adec9b929e1652b2e118889f0cf27981bce03ac,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,24184.54655,2.42E+22,0.002977077511,$744.26937782
0x2b86d62eebc50615275743f278be7e4c897aaea2,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,23256.06054,2.33E+22,0.002862782425,$715.69560613
0x67e2fc02c1309e97e358ae62e228db55ba49c6ca,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,23220.54483,2.32E+22,0.0028584105,$714.60262502
0x26f02ed0dcb2879e4046245b6a278b3b42fd65e1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,22451.33819,2.25E+22,0.00276372244,$690.93061006
0xf7e326856009c52e9842b135723194eeba53a5df,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,22204.87556,2.22E+22,0.0027333833,$683.34582493
0x8ae9857458db024688bdca8e95b957451e43c53d,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,22195.97397,2.22E+22,0.002732287529,$683.07188227
0x0a0357e50db54027f39373db16ef3461ce770feb,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,22106.01042,2.21E+22,0.002721213166,$680.30329150
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,21878.34555,2.19E+22,0.002693187998,$673.29699953
0x11d67fa925877813b744abc0917900c2b1d6eb81,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,21313.74737,2.13E+22,0.0026236869,$655.92172498
0x139791013f6dcc26f4052e6a7b8ed50099e7d15b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,21066.87252,2.11E+22,0.002593297016,$648.32425392
0xa654b7cad9fa2bf8643cc3e0883150360b61eb90,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,20749.3156,2.07E+22,0.002554206286,$638.55157156
0x8b932f5e9b62bba7fc468396dd628ae2dd88cf33,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,20583.38216,2.06E+22,0.002533780155,$633.44503885
0x62d164ec972c048e0c9c4fa26e6c3b9984982d25,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,20517.92268,2.05E+22,0.002525722202,$631.43055053
0x5be876ed0a9655133226be302ca6f5503e3da569,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,20363.82,2.04E+22,0.002506752418,$626.68810462
0xa2740b7c8cf37b974a87a168fa5f73c9d82342cb,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,19955.34898,2.00E+22,0.002456470314,$614.11757856
0xb29cd9c87a624b940335d6d5e1d4aadf7d95beec,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,19364.90873,1.94E+22,0.0023837881,$595.94702510
0x6a665546e8083e48470a1fbff1f290bcbc0d97b3,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,19260.93234,1.93E+22,0.002370988779,$592.74719485
0x42246d1c329db6a3016a863e37880dd68a3f92f9,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,18869.12821,1.89E+22,0.002322758341,$580.68958532
0x021a0c4a40bf7be93c8fbaca0371f605a4bad8e4,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,18496.07711,1.85E+22,0.00227683637,$569.20909262
0xc62d9c14ef200bacab10d87ffff81a317fe01c7b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,18362.13569,1.84E+22,0.002260348405,$565.08710127
0xcc202930867769a83b61cf5053b65d1845e76aea,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,17950.28473,1.80E+22,0.002209650236,$552.41255890
0xbe5a90ab91d3a12de8bfd091e0a60a84a9abd1dc,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,17603.12394,1.76E+22,0.002166915319,$541.72882967
0xf9e8b42c53d08a6f47497e37d8a8215bb44d9976,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,17315.89017,1.73E+22,0.002131557318,$532.88932957
0x1ae3d567efa78eb59a24e05ec3391c701d5a17eb,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,17232.18927,1.72E+22,0.002121253877,$530.31346926
0xb3a8a78731015c3f30afb91128b7819303ffe8fb,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,17209.98191,1.72E+22,0.002118520188,$529.63004701
0xc444d15c2d9fc71dcb10393e4b07bbcf9ba37bf7,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,16144.59429,1.61E+22,0.001987372742,$496.84318553
0x5dcd83cf2dd90a4c7e1c189e74ec7dc072ad78e1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,15894.86229,1.59E+22,0.001956631147,$489.15778675
0x0cd8d0e384662c2e427344c4e5f47a55d0264411,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,15744.798,1.57E+22,0.001938158483,$484.53962064
0xfc5be65e67bf016e414db1655133529033f0fa15,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,15740.23292,1.57E+22,0.001937596529,$484.39913221
0x3eb3afda3f2c2f654419f01ff3eff937059d3f50,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,15081.6493,1.51E+22,0.001856525979,$464.13149470
0x0b5d351c06ce648190744e445ed8341588ad98f6,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,15016.39726,1.50E+22,0.001848493561,$462.12339034
0xbedc8e268b4d0e822b769eeb373368378e43bdf2,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,14771.47587,1.48E+22,0.001818344145,$454.58603615
0x3d1d5d9e79128a54213ed1170664157c0247f6e7,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,14476.20881,1.45E+22,0.00178199726,$445.49931510
0x43f05f5c7dcacaa22e1b16615bc22fcb18951b86,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,14064.95301,1.41E+22,0.001731372354,$432.84308849
0xf00bdc63757d8dcd4b9c1e21b7921dae41dc2ade,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,13701.48116,1.37E+22,0.001686629574,$421.65739341
0xf9c3c3f723749a47e2504853339c239f2b77f831,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,13514.05571,1.35E+22,0.001663557812,$415.88945300
0x1e66811181aa13d923a862ccada588bc9e6eae26,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,13325.06586,1.33E+22,0.001640293474,$410.07336858
0xc0f2bc5b6bb3608b1227acf03b32eac99a22bc2f,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,13273.94968,1.33E+22,0.001634001158,$408.50028942
0x1dd72e6dfbad8f638f622cebff73079a7d0f4f3a,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,13225.18258,1.32E+22,0.001627998009,$406.99950230
0xbc03c6f5c2186cd6fdeed8d9eb3228dab680acae,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,12946.65556,1.29E+22,0.001593711796,$398.42794898
0x7bee1cd814beee5965338e0fdebb78cc117bd22b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12937.0314,1.29E+22,0.001592527078,$398.13176950
0x77ee23bb9497ee597a0ba3022e6388c988ea8afe,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12844.64231,1.28E+22,0.001581154134,$395.28853353
0x262757e7f40c592e990b85623b73c65afa6e53a8,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12810.34601,1.28E+22,0.001576932317,$394.23307921
0x19fa893c5e07fa1a4d9e0c97895e2ff5e870917c,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12581.42372,1.26E+22,0.001548752363,$387.18809069
0xf493789786aaa04b5ae17ed95bc87cfe6a260658,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12578.56779,1.26E+22,0.001548400802,$387.10020057
0x24955bd4a2205e4d96d41191192c6e80381abd76,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,12524.09604,1.25E+22,0.00154169542,$385.42385509
0x33b44ed09fe9002c101db139dbeee488a825875a,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12517.95659,1.25E+22,0.001540939665,$385.23491621
0x2c14350b89734febb9df564cade1d420cbd99bbb,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12372.56089,1.24E+22,0.001523041695,$380.76042366
0xe0cc9854371614b6a68a8760567a01a118873fba,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12231.74048,1.22E+22,0.001505706937,$376.42673417
0xf23e1befc889ac30991762ed44fbd8ebf260419b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,12079.63877,1.21E+22,0.001486983469,$371.74586715
0x1d5bedf6b017a282eb7446e86e7c2584e89ef466,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11857.05996,1.19E+22,0.001459584387,$364.89609667
0xa9a5f6a3777d128d7abf2ff972ca146a13a3fca3,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,11843.41334,1.18E+22,0.001457904511,$364.47612768
0x7d212ce199459eb212ffbd1f45fd7b332b76d953,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11795.22318,1.18E+22,0.001451972382,$362.99309542
0xc07f20395b27401a4ddd845dc3fc06bd6fcd5e63,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11705.21295,1.17E+22,0.001440892273,$360.22306817
0xcef13daa45ca6ca8b1af80e20280c7e5f6016b3c,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11639.80897,1.16E+22,0.001432841151,$358.21028770
0x7c8dc754feccf61fb338a934794fab8a7a5cb174,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11636.99236,1.16E+22,0.001432494431,$358.12360782
0x295bdafd8d7b7c3289f13c3f98dee7b569b7980f,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11472.86167,1.15E+22,0.001412290216,$353.07255393
0x19cf5be00fdba36deceb86d65f1fad5730c90c08,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,11308.87974,1.13E+22,0.001392104312,$348.02607802
0x4cc25e0366c564847546f2feda3d7f0d9155b9ac,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,11165.56629,1.12E+22,0.001374462665,$343.61566617
0x5293325d7c66ebf580f57179355fa22fcb8f8b56,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,10946.15814,1.09E+22,0.001347453885,$336.86347134
0xab2f634827597430587923c6130e40c6fe0f6617,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,10804.12377,1.08E+22,0.001329969691,$332.49242278
0x523985489a68b1a6d7fe7757e562c3b5f5926010,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10715.54809,1.07E+22,0.001319066172,$329.76654306
0x84120647a1cb516d0b679af75f60456c3f909cf9,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10552.9567,1.06E+22,0.001299051442,$324.76286049
0xaf1538424f432e086ce50eca04767231462027e4,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10480.843,1.05E+22,0.001290174365,$322.54359120
0xc1a1db943e1eeaa55746099dd145aca5e33478a2,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10344.62341,1.03E+22,0.00127340596,$318.35149009
0x8ae8930864eeb9b13f8206e6fea8ecbde6dff1ea,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,10314.22127,1.03E+22,0.001269663507,$317.41587676
0x91c1c680e7daffcd15abe7db8e6bac79c33d7e4b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,10248.52097,1.02E+22,0.001261575909,$315.39397714
0x4d53a5ad0d778df3b3fdad01da22670130e2d883,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,10229.96952,1.02E+22,0.001259292256,$314.82306400
0x217caca1cd024d883988fc7dec1d9086baeb5a05,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10026.19181,1.00E+22,0.001234207558,$308.55188954
0x447817177a3761286b4c71bacc7dfb5a7f06cede,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,10006.45617,1.00E+22,0.001231778134,$307.94453359
0x7eaa868b94e5a7b31edd5f40a6f2ead114234676,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9998.529712,1.00E+22,0.0012308024,$307.70060010
0x038ac1795d2c99b312e981e2992bfc45d0b3c73e,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9990.130461,9.99E+21,0.001229768466,$307.44211662
0x310d4fb2845c3e0c3c57165198d65a5327a373ea,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9810.669371,9.81E+21,0.001207677104,$301.91927609
0x0b8c9e653078288f80f99fb71039a302cdc3b4b5,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9735.217818,9.74E+21,0.001198389144,$299.59728590
0xce65a2b43efccd13d7a7adf2ffb0c72acde0b2f1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed and transferred partially,9665.519748,9.67E+21,0.001189809427,$297.45235673
0x69aa4b1c616c9f2a08d57bc8809a199d07c978c0,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9664.188529,9.66E+21,0.001189645556,$297.41138901
0xe3de40029774a0bdbea68328464785472bf1b3b4,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9442.419773,9.44E+21,0.001162346191,$290.58654763
0x325b3c98d5b31052e3a3e6526433f5eacc46c5b9,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9090.08924,9.09E+21,0.001118974887,$279.74372179
0x2cd03d3ce4c5ec075f259ccc85d19706a9090dcc,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9089.957704,9.09E+21,0.001118958695,$279.73967383
0x695e4494bc9d802d4ef182944da80c7803903f75,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,9044.190854,9.04E+21,0.001113324872,$278.33121803
0x096eea213800e75a318b8db790a843c2a7343416,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,9044.154322,9.04E+21,0.001113320375,$278.33009376
