account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0xf5852776c00e0badafae60c1166dcdb3211af64b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,23762.94435,2.38E+22,0.003335391623,$833.84790576
0x982fb25c5c3257bb9c1fff7d747df6bb1732df2a,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,22559.24433,2.26E+22,0.003166439035,$791.60975873
0x6adec9b929e1652b2e118889f0cf27981bce03ac,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,22250.4143,2.23E+22,0.003123091329,$780.77283228
0x2b86d62eebc50615275743f278be7e4c897aaea2,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,21396.18291,2.14E+22,0.003003190523,$750.79763067
0x67e2fc02c1309e97e358ae62e228db55ba49c6ca,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,21363.50754,2.14E+22,0.002998604173,$749.65104318
0x26f02ed0dcb2879e4046245b6a278b3b42fd65e1,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,20655.81734,2.07E+22,0.00289927204,$724.81800998
0xf7e326856009c52e9842b135723194eeba53a5df,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,20429.06529,2.04E+22,0.002867444885,$716.86122129
0x8ae9857458db024688bdca8e95b957451e43c53d,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,20420.8756,2.04E+22,0.002866295371,$716.57384284
0x0a0357e50db54027f39373db16ef3461ce770feb,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,20338.10678,2.03E+22,0.002854677855,$713.66946369
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,20128.64901,2.01E+22,0.002825278143,$706.31953585
0x11d67fa925877813b744abc0917900c2b1d6eb81,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,19609.20394,1.96E+22,0.002752368292,$688.09207307
0x139791013f6dcc26f4052e6a7b8ed50099e7d15b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,19382.07278,1.94E+22,0.002720487926,$680.12198144
0xa654b7cad9fa2bf8643cc3e0883150360b61eb90,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,19089.91212,1.91E+22,0.002679479951,$669.86998786
0x8b932f5e9b62bba7fc468396dd628ae2dd88cf33,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,18937.24902,1.89E+22,0.002658052,$664.51300002
0x62d164ec972c048e0c9c4fa26e6c3b9984982d25,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,18877.02459,1.89E+22,0.002649598836,$662.39970905
0x5be876ed0a9655133226be302ca6f5503e3da569,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,18735.25,1.87E+22,0.002629699207,$657.42480171
0xa2740b7c8cf37b974a87a168fa5f73c9d82342cb,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,18359.4421,1.84E+22,0.002576950418,$644.23760462
0xb29cd9c87a624b940335d6d5e1d4aadf7d95beec,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,17816.22166,1.78E+22,0.002500703431,$625.17585775
0x6a665546e8083e48470a1fbff1f290bcbc0d97b3,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,17720.56066,1.77E+22,0.002487276354,$621.81908854
0x42246d1c329db6a3016a863e37880dd68a3f92f9,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,17360.09063,1.74E+22,0.002436680405,$609.17010120
0x021a0c4a40bf7be93c8fbaca0371f605a4bad8e4,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,17016.87387,1.70E+22,0.002388506144,$597.12653596
0xc62d9c14ef200bacab10d87ffff81a317fe01c7b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,16893.64428,1.69E+22,0.002371209509,$592.80237732
0xcc202930867769a83b61cf5053b65d1845e76aea,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,16514.73064,1.65E+22,0.002318024796,$579.50619903
0xbe5a90ab91d3a12de8bfd091e0a60a84a9abd1dc,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,16195.33365,1.62E+22,0.002273193901,$568.29847535
0xf9e8b42c53d08a6f47497e37d8a8215bb44d9976,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,15931.07107,1.59E+22,0.002236101732,$559.02543291
0x1ae3d567efa78eb59a24e05ec3391c701d5a17eb,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,15854.06406,1.59E+22,0.002225292948,$556.32323689
