rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1239,6.597972214163177e-7,1.0000000000000009,3372548.81816083,3373254.04556872,GLV,CONTRACT,0x71886cd85420149d3196b53ebf2ed0d9950f4a22,1.6722473680731031,5.1732683213795734e-8,2.2256636463975945,true,,false,,,2.2256636463975945
1240,6.532134983699222e-7,1.0000000000000009,3372551.021615906,3373254.04556872,GLV,CONTRACT,0xaf884364c28b67ef4aba01c6aa14703a438e9806,1.6555610087204156,5.1216473615344504e-8,2.203455075996436,true,,false,,,2.203455075996436
1241,6.501175893183665e-7,1.0000000000000009,3372553.2146276943,3373254.04556872,GLV,CONTRACT,0x91e9d9c055f411d1a626b479a6182abb8269be8b,1.6477144680027322,5.0973732850418205e-8,2.1930117882635636,true,,false,,,2.1930117882635636
1242,6.258029328152913e-7,1.0000000000000009,3372555.325619969,3373254.04556872,GLV,CONTRACT,0x73b094f3bdd21095d5f44d5b1811d954e11d3ad2,1.5860892913225573,4.9067294960871277e-8,2.110992274847951,true,,false,,,2.110992274847951
1243,6.252715827036947e-7,1.0000000000000009,3372557.434819865,3373254.04556872,GLV,CONTRACT,0xe8f3450e40cd6c757cc8fcba728c30488b8d4fa8,1.5847425914626587,4.902563342289172e-8,2.1091998959343945,true,,false,,,2.1091998959343945
1244,6.21473327604578e-7,1.0000000000000009,3372559.5312072816,3373254.04556872,GLV,CONTRACT,0x2a108f0c6ee8dc73dd72ba34dc9fb87d98c81306,1.5751159639374115,4.8727823851360046e-8,2.0963874165551974,true,,false,,,2.0963874165551974
1245,6.20871642128332e-7,1.0000000000000009,3372561.6255650604,3373254.04556872,GLV,CONTRACT,0x042e939b950e7aaf7b242801a3ecfe012044cb63,1.5735910000221338,4.868064753244472e-8,2.0943577785882903,true,,false,,,2.0943577785882903
1246,6.205450994617381e-7,1.0000000000000009,3372563.7188213277,3373254.04556872,GLV,CONTRACT,0x8e11bd120b0c4e41820ea88028ae48d3a86f0ead,1.5727633819342568,4.865504432015712e-8,2.0932562672171517,true,,false,,,2.0932562672171517
1247,6.203694467509447e-7,1.0000000000000009,3372565.8114850735,3373254.04556872,GLV,CONTRACT,0x90cf9abd5524e697ddb161cc357124c65d84996f,1.5723181924521177,4.864127192805215e-8,2.092663745999853,true,,false,,,2.092663745999853
1248,6.19652474977323e-7,1.0000000000000009,3372567.9017302915,3373254.04556872,GLV,CONTRACT,0x5343c850f936a91caf4c929936095f22c02311ae,1.5705010369344752,4.858505636297536e-8,2.0902452180639246,true,,false,,,2.0902452180639246
1249,6.18671105813931e-7,1.0000000000000009,3372569.988665102,3373254.04556872,GLV,CONTRACT,0xb6fe3f136eeb4c199beaaaddf5525e109051a80f,1.568013769714605,4.8508110206796406e-8,2.0869348105633163,true,,false,,,2.0869348105633163
1250,6.183377667264879e-7,1.0000000000000009,3372572.074475475,3373254.04556872,GLV,CONTRACT,0x78527d784dea30c226339fe390dfd3c2138a3344,1.5671689261875954,4.848197410792583e-8,2.085810373138053,true,,false,,,2.085810373138053
1251,6.178815009621866e-7,1.0000000000000009,3372574.1587467478,3373254.04556872,GLV,CONTRACT,0x9e118b300c6424781835e58e8ebfcbe22c6daab8,1.5660125266170475,4.844619970409426e-8,2.084271272802769,true,,false,,,2.084271272802769
1252,6.159493651881153e-7,1.0000000000000009,3372576.236500436,3373254.04556872,GLV,CONTRACT,0xf5fbbbaeaeb9d00ae3350987c8cec1d8db57bf2f,1.5611155539441173,4.829470684434635e-8,2.0777536879862946,true,,false,,,2.0777536879862946
1253,6.147720652793137e-7,1.0000000000000009,3372578.3102827924,3373254.04556872,GLV,CONTRACT,0xb11ed91e4634e8752746cbc61678809947087656,1.5581317028304371,4.820239835735557e-8,2.073782356306082,true,,false,,,2.073782356306082
1254,6.140924467721793e-7,1.0000000000000009,3372580.381772623,3373254.04556872,GLV,CONTRACT,0x4df9dec591abbd157af15e9c8eadd2202de88868,1.55640921867476,4.81491115477198e-8,2.0714898304274474,true,,false,,,2.0714898304274474
1255,6.14021241705842e-7,1.0000000000000009,3372582.4530222607,3373254.04556872,GLV,CONTRACT,0x7d7e0098d0540824cc0f2f8f43fe14d3dcf06e00,1.5562287503719077,4.8143528576133275e-8,2.0712496376493603,true,,false,,,2.0712496376493603
1256,6.129956561363538e-7,1.0000000000000009,3372584.5208123378,3373254.04556872,GLV,CONTRACT,0xe1cf9cf3d2f1608a787399900bfd747bff022059,1.5536294172531218,4.806311554671633e-8,2.0677900769780075,true,,false,,,2.0677900769780075
1257,6.11143131829062e-7,1.0000000000000009,3372586.5823533796,3373254.04556872,GLV,CONTRACT,0x5f95545fa5d625e4dee0f0f5084c129d955c04b9,1.5489342187942523,4.791786477871633e-8,2.061541041863921,true,,false,,,2.061541041863921
1258,6.103221096052755e-7,1.0000000000000009,3372588.641124905,3373254.04556872,GLV,CONTRACT,0x9a7eb03932e65d77edbc2a9d4c1f20303ec8ebe5,1.546853348781024,4.785349093591132e-8,2.0587715253260312,true,,false,,,2.0587715253260312
1259,6.093866965803819e-7,1.0000000000000009,3372590.6967410445,3373254.04556872,GLV,CONTRACT,0x6b5ccabcac8bc7b736f882d592a731f4c6a5d6e9,1.5444825567889302,4.778014806006986e-8,2.0556161395555312,true,,false,,,2.0556161395555312
1260,6.083540460888582e-7,1.0000000000000009,3372592.7488737917,3373254.04556872,GLV,CONTRACT,0x895a3b84e05effda1b7ff7f5a92c431fa9b0bddf,1.5418653177182913,4.7699181091712695e-8,2.0521327471073407,true,,false,,,2.0521327471073407
1261,6.073181776864246e-7,1.0000000000000009,3372594.7975122915,3373254.04556872,GLV,CONTRACT,0xddb4c056bce131eef3a3729f9e678fa6effbd73a,1.539239922894831,4.7617961816797816e-8,2.0486384998281544,true,,false,,,2.0486384998281544
1262,6.067707523861762e-7,1.0000000000000009,3372596.8443041868,3373254.04556872,GLV,CONTRACT,0x2b4d1f2d5d468783b3595cf5c339d94cba42abb0,1.5378524806810068,4.7575039872415914e-8,2.046791895219445,true,,false,,,2.046791895219445
1263,6.066060914092435e-7,1.0000000000000009,3372598.8905406385,3373254.04556872,GLV,CONTRACT,0xa99777e6bed4d4fda7a2f94369a6abca58faf63e,1.537435149603575,4.756212930856259e-8,2.046236451912859,true,,false,,,2.046236451912859
1264,6.056349554438241e-7,1.0000000000000009,3372600.933501202,3373254.04556872,GLV,CONTRACT,0x41d45dc495aa6dafba6fdd8b99cf0ea58549a296,1.5349738182891939,4.7485985506155064e-8,2.042960563588711,true,,false,,,2.042960563588711
1265,6.05184603474546e-7,1.0000000000000009,3372602.9749426143,3373254.04556872,GLV,CONTRACT,0xc0880e1d6b2566d625e79a3d83754cfeb034097f,1.5338324071542464,4.745067478491352e-8,2.0414414119864137,true,,false,,,2.0414414119864137
