rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
26,0.0010193102330107934,1.0000000000000004,881548.7129477788,883897.6891519233,USDC,EOA,0x54deec02786497d53e1faeda4b1f1421b262d0b3,676.9387445018705,0.000020941792639693344,900.9659594871488,false,,false,,,900.9659594871488
27,0.0010049336746397015,1.0000000000000004,882436.9715005438,883897.6891519233,USDC,EOA,0x1471675c245b9fac9df4c166152de70b18fc316c,667.3910630808386,0.000020646425346665623,888.2585527649829,false,,false,,,888.2585527649829
28,0.000824753560730187,1.0000000000000004,883165.969266993,883897.6891519233,USDC,EOA,0xba7cbf642a8467aaaeafecf891b12b73ca13357b,547.7308299702197,0.000016944613610562483,728.9977664492327,false,,false,,,728.9977664492327
29,0.0005753282678352228,1.0000000000000004,883674.5005934363,883897.6891519233,USDC,EOA,0xab39899f6fcd9c4dc1761e2343f5d95d829860fe,382.0838668071015,0.00001182015533109203,508.53132644333226,false,,false,,,508.53132644333226
30,0.00019836241429970868,1.0000000000000004,883849.8326730505,883897.6891519233,USDC,EOA,0x7dc130e21cf30c5e3adfc46664f55ff2c49502dd,131.7353631345157,0.000004075368237502481,175.33207961410892,false,,false,,,175.33207961410892
31,0.000027433822142757827,1.0000000000000004,883874.081365047,883897.6891519233,USDC,EOA,0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,18.219200118644792,5.636295958011624e-7,24.24869199658851,false,,false,,,24.24869199658851
32,0.000010180050107090878,1.0000000000000004,883883.0794878121,883897.6891519233,USDC,EOA,0xee224f96ffdcae3d9a25f1695b36e10269c08aab,6.760719273959511,2.0914976765677947e-7,8.998122765108416,false,,false,,,8.998122765108416
33,0.000008263405280533128,1.0000000000000004,883890.3834926441,883897.6891519233,USDC,EOA,0xa2b31a9e5d89026abe81cfa6751bbe42be2bfe3f,5.487847580408809,1.6977217953706085e-7,7.304004831989031,false,,false,,,7.304004831989031
34,0.000005509072989042148,1.0000000000000004,883895.2529495284,883897.6891519233,USDC,EOA,0xe5dc286ecedbfa1f3444a2adf23e0e65ed873ba2,3.658655463073203,1.1318424993407735e-7,4.869456884383633,false,,false,,,4.869456884383633
35,0.0000027562040548679666,1.0000000000000004,883897.6891519233,883897.6891519233,USDC,EOA,0x585326b9ab31f38089228645c8bed03960da07a1,1.8304351826060095,5.662638509890809e-8,2.4362023949289564,false,,false,,,2.4362023949289564
